Sample Name,Sequence Read Depth,Treatment,Elevation,Depth,Nap,Nar,NirK,NirS,cNor,qNor,Nos
CJ01,18702778,Ca,High,Mineral,33,379,235,0,11,626,50
CJ02,17933988,Ca,High,Oa/A,58,411,197,0,18,674,77
CJ03,19823652,Ca,High,Oi/Oe,72,301,268,0,6,706,62
CJ04,21061458,Ca,Low,Mineral,29,173,176,0,18,445,4
CJ05,23506722,Ca,Low,Oa/A,40,223,176,0,9,656,22
CJ06,22695072,Ca,Low,Oi/Oe,41,114,80,0,4,283,9
CJ07,20447294,Ca,Spruce Fir,Mineral,25,521,164,2,30,584,55
CJ08,23533868,Ca,Spruce Fir,Oa/A,28,392,179,3,12,637,31
CJ09,20420756,Ca,Spruce Fir,Oi/Oe,13,157,108,0,0,350,20
CJ010,29929062,None,High,Mineral,89,525,336,0,49,859,51
CJ011,21447276,None,High,Oa/A,68,322,236,0,15,598,67
CJ012,19210102,None,High,Oi/Oe,39,288,225,0,21,599,53
CJ013,35903424,None,Low,Mineral,46,132,183,0,20,534,9
CJ014,26428354,None,Low,Oa/A,46,108,124,0,8,369,27
CJ015,24353102,None,Low,Oi/Oe,26,69,94,0,4,234,15
CJ016,28208164,None,Spruce Fir,Mineral,33,361,151,0,20,613,24
CJ017,29501552,None,Spruce Fir,Oa/A,15,467,165,0,13,764,75
CJ018,21783872,None,Spruce Fir,Oi/Oe,13,249,90,0,4,418,32
