Sample Name,CJ001,CJ002,CJ003,CJ004,CJ005,CJ006,CJ007,CJ008,CJ009,CJ010,CJ011,CJ012,CJ013,CJ014,CJ015,CJ016,CJ017,CJ018
Treatment,Ca,Ca,Ca,Ca,Ca,Ca,Ca,Ca,Ca,None,None,None,None,None,None,None,None,None
Elevation,High,High,High,Low,Low,Low,Spruce Fir,Spruce Fir,Spruce Fir,High,High,High,Low,Low,Low,Spruce Fir,Spruce Fir,Spruce Fir
Depth,Mineral,Oa/A,Oi/Oe,Mineral,Oa/A,Oi/Oe,Mineral,Oa/A,Oi/Oe,Mineral,Oa/A,Oi/Oe,Mineral,Oa/A,Oi/Oe,Mineral,Oa/A,Oi/Oe
Gene1,4.600105189,0.303621629,0,0,0,0,0,0.238151317,0,0.580881561,0.526705413,0.311570449,0.322458163,0.214162617,0,0,0.949024299,0
Gene2,48.761115,42.50702808,63.30771975,41.06118527,56.20174099,66.68085107,47.21577667,42.62908575,73.14310326,47.43866084,62.67794413,47.0471378,41.9195612,60.3938579,72.70401099,60.36969637,63.58462801,72.15979978
Gene3,1.840042076,2.428973033,3.973287851,1.094964941,2.906986603,3.76994211,1.422161948,0.714453951,0.815722341,2.129899058,7.637228487,2.804134041,0.644916326,1.92746355,1.219865956,0,2.087853457,0.813832328
Gene4,5.520126227,3.036216292,7.416803988,4.927342233,5.813973206,10.3673408,2.275459117,2.381513171,13.05155746,3.485289368,8.427286606,6.54297943,1.612290815,6.4248785,6.831249355,2.125693534,1.518438878,7.86704584
Gene5,81.26852501,98.06978622,101.4512831,99.91555083,85.27160703,104.1446508,63.42842287,87.877836,124.8055182,84.61508077,85.06292418,93.15956426,92.38426372,90.59078685,93.68570544,88.42885102,91.86555211,93.59071775
Gene6,657.815042,840.4246695,926.8356126,670.6660261,764.7797255,876.5115406,707.6677852,827.0995241,904.6360764,670.530949,772.413488,830.9583876,702.1526501,736.2910761,819.5059494,694.2515082,815.4016774,800.5397336
Gene7,0,0,0.264885857,0,0,0,0,0.238151317,0,0,0,0,0,0,0.243973191,0,0,0
Gene8,11.04025245,13.96659494,9.800776698,11.77087311,8.236462042,9.189233894,10.23956602,7.858993463,8.157223412,3.872543742,4.476996009,6.54297943,10.15743214,7.06736635,6.587276164,5.739372542,8.541218688,3.797884199
Gene9,70.84161991,102.6241107,140.9192758,69.25653249,82.36462042,89.7717465,83.90755492,85.73447414,114.4730352,92.94104982,87.43309854,101.2603959,78.84102087,88.44916069,98.80914246,87.79114296,82.56511398,94.67582753
