,CJ01,CJ02,CJ03,CJ04,CJ05,CJ06,CJ07,CJ08,CJ09,CJ010,CJ011,CJ012,CJ013,CJ014,CJ015,CJ016,CJ017,CJ018
nirK,235,197,268,176,176,80,164,179,108,336,236,225,183,124,94,151,165,90
Clade 1,10,26,25,4,4,3,7,11,16,14,16,14,6,2,2,3,6,9
Clade 2,18,49,36,18,25,13,27,39,19,46,29,44,29,28,28,37,48,10
Clade 3,0,2,0,0,0,2,1,1,1,7,6,3,3,1,1,2,0,3
Clade 4,1,2,0,0,0,0,1,1,0,4,0,0,1,1,0,3,0,0
Clade 5,7,31,14,7,12,3,5,10,3,30,8,13,10,9,4,8,3,2
Clade 6,106,57,130,110,90,41,60,56,49,118,99,82,89,48,48,61,43,33
Clade 7,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,7,4,0
Clade 8,2,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1
Clade 9,28,25,17,12,21,6,13,12,8,30,21,22,17,13,6,7,28,20
Clade 10,5,2,5,3,7,2,2,4,2,10,10,4,3,4,4,2,4,6
Clade 11,6,0,1,1,1,0,7,3,0,13,3,8,3,2,0,2,0,0
Clade 12,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
Clade 13,7,0,15,1,0,0,2,3,1,7,10,6,5,1,0,4,0,2
Clade 14,15,1,8,6,2,1,11,10,1,9,11,2,2,0,0,5,20,1
Clade 15,26,0,11,12,13,8,22,23,8,35,23,22,13,13,1,8,8,3
Clade 16,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Clade 17,2,0,1,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0
Clade 18,2,0,3,0,1,0,5,1,0,9,0,4,0,1,0,0,0,0
