,CJ01,CJ02,CJ03,CJ04,CJ05,CJ06,CJ07,CJ08,CJ09,CJ010,CJ011,CJ012,CJ013,CJ014,CJ015,CJ016,CJ017,CJ018
Nos sum,51,77,62,4,22,9,55,31,20,51,67,53,9,27,15,24,75,32
Clade 1,24,19,24,0,7,0,4,8,3,12,12,9,0,7,3,7,9,8
Clade 2,0,0,1,0,0,0,1,2,1,0,2,3,0,2,0,0,3,4
Clade 3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Clade 4,1,0,1,0,0,0,2,0,0,3,2,1,0,0,0,0,3,0
Clade 5,0,0,0,1,1,0,2,1,1,0,1,0,0,0,0,1,0,0
Clade 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clade 7,4,2,9,0,8,2,7,6,11,6,5,5,2,10,5,5,22,11
Clade 8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Clade 9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2
Clade 10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Clade 11,0,2,1,0,0,0,1,1,0,1,2,0,0,2,1,0,4,5
Clade 12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Clade 13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clade 14,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0
Clade 15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clade 16,1,3,3,0,0,0,8,1,0,3,4,1,0,0,0,5,11,1
Clade 17,2,5,2,0,0,0,18,2,0,1,1,4,2,0,0,5,16,0
Clade 18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clade 19,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Clade 20,16,44,17,3,4,7,8,10,4,23,38,30,5,5,6,1,4,1
