LA1,LA2,LA3,SA1,SA2,SA3,O1,O2,O3
1.345997245,0.844846657,1.134629244,1.465243329,1.3399524,0.807745471,0.677624763,1.659684925,1.613776162
41.53362926,48.36747112,50.1127916,51.28351653,59.18123102,64.0138286,50.59598227,39.00259575,49.22017293
9.229695391,9.715736557,11.34629244,10.98932497,9.379666803,11.71230933,9.486746676,6.431279086,10.48954505
26.53537425,10.13815989,11.34629244,13.5535008,5.806460402,8.077454713,11.29374604,8.920806474,12.30504323
2.307423848,2.534539971,1.701943866,1.831554162,2.009928601,0,0,4.771594161,0
16.92110822,4.857868279,8.509719329,4.76204082,3.573206401,5.654218299,3.388123813,4.356672929,9.480934949
0,0,0,0,0.4466508,0.605809103,0,0,0.40344404
0,4.013021622,0,0,0,0,0,0,0
27.88137149,25.34539971,24.20542387,32.60166408,35.28541321,30.49239154,41.78686036,45.43387483,49.62361697
53.83988978,37.17325292,40.46844303,39.56156989,41.76184981,41.59889177,51.04773211,60.37103916,45.18573252
28.07365681,34.00507795,28.17662622,24.17651493,25.45909561,24.23236414,33.88123813,36.51306836,33.68757737
0,0.633634993,0.189104874,0.366310832,0.2233254,0,0,0.207460616,0
0.384570641,0,0.567314622,0,0,0,0.225874921,0,0
22.68966784,12.46148819,13.8046558,10.62301414,11.8362462,8.683263817,17.16649399,13.48494002,7.463714747
7.883698147,6.336349929,6.429565715,7.326216646,8.486365203,12.52005481,4.743373338,2.282066772,7.060270707
5.191703658,2.9569633,3.025677984,2.197864994,3.796531801,2.019363678,5.19512318,2.282066772,1.210332121
145.3677024,88.49768734,63.35013278,83.8851806,81.29044563,60.58091035,87.41359437,78.62757334,75.04059151
135.1765804,176.5729513,166.601394,141.7622921,151.6379466,156.5006851,135.0732027,129.4554242,145.2398545
14.42139905,11.40542987,13.0482363,7.692527479,7.369738202,10.7026275,13.55249525,14.5222431,20.17220202
0.384570641,0.211211664,0,0,0,0.201936368,0,1.037303078,0.40344404
99.02694013,122.9251886,120.6489096,99.63654639,117.9158112,111.6708114,97.57796581,90.24536782,99.65067798
1.345997245,2.112116643,0,1.098932497,0,0,0,2.074606157,2.017220202
0,0,0,0,0.6699762,0,0.677624763,0.207460616,0.20172202
58.83930812,49.42352944,46.33069412,50.18458403,42.65515141,47.65698281,49.91835751,52.48753577,52.24600323
13.45997245,14.7848165,14.75018017,12.82087913,8.933016003,13.32780028,10.39024636,15.97446741,13.71709737
6.922271543,6.125138264,7.185985211,6.22728415,7.146412802,6.058091035,9.938496518,15.14462494,11.09471111
46.91761824,16.68572148,15.88480941,29.30486659,17.86603201,14.13554575,20.78049272,20.53860095,18.76014788
0,0,0.189104874,0,0,0,0,0,0
0.769141283,0,0,0.732621665,0,0.403872736,1.129374604,0.207460616,1.008610101
275.7371498,265.7042737,225.9803244,249.4576768,278.0401231,237.8810413,314.8696397,430.6882381,350.5928711
0,0.211211664,0,0,0.2233254,0,0,0,0.20172202
2.307423848,4.857868279,2.269258488,2.197864994,0.8933016,1.211618207,1.806999367,2.696988004,1.815498182
120.7551814,121.8691303,126.1329509,140.6633596,136.6751448,144.384503,145.0116992,149.1641827,145.6432986
0.192285321,0.211211664,0.189104874,0,0.4466508,0.201936368,0,0.207460616,0.605166061
15.57511097,12.25027653,18.34317278,9.890392473,19.42930981,10.90456386,21.6839924,37.75783205,24.20664242
15.19054033,19.00904979,22.12527025,17.21660912,19.65263521,20.19363678,10.61612128,9.12826709,11.29643313
0.769141283,0.211211664,0.567314622,0.732621665,1.5632778,0.605809103,1.581124446,2.489527388,2.017220202
4.807133016,5.702714936,8.320614455,6.593594982,2.233254001,5.048409196,6.324497784,4.979054776,4.236162424
0,0,0,0,0.2233254,0,0,0,0
166.9036583,172.1375064,167.1687086,183.8880378,183.1268281,188.2046948,177.5376878,158.4999104,172.6740493
0,0.633634993,0,0.366310832,0,0.201936368,0,0.414921231,0.40344404
1.153711924,1.689693314,1.134629244,0,1.116627,0.403872736,1.355249525,2.904448619,1.210332121
43.64876779,39.91900455,49.35637211,43.59098905,44.88840541,47.25311007,36.13998734,41.28466252,36.10824162
2.88427981,1.689693314,3.403887731,2.564175826,2.009928601,2.82710915,3.613998734,2.489527388,4.236162424
35.18821368,42.66475619,29.31125547,26.74069076,26.35239721,31.09820065,36.13998734,40.45482006,43.57195636
55.76274299,70.12227254,70.34701312,67.76750398,67.89092162,76.13001067,51.72535688,37.55037144,44.9840105
0.192285321,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.207460616,0
52.1093219,77.51468079,87.9337664,87.18197809,87.32023143,93.49653831,48.56310798,47.50848099,59.30627394
135.7534364,110.2524888,109.8699318,98.17130306,111.8860254,95.11202925,159.2418192,157.0476861,143.6260784
0,0,0,0,0,0,0,0,0
9.421980712,9.504524893,10.02255832,11.3556358,8.039714403,7.47164561,9.938496518,8.713345858,12.91020929
3.07656513,0.633634993,1.323734118,2.197864994,3.126555601,1.211618207,1.129374604,2.696988004,0.806888081
28.8427981,36.32840626,30.63498958,48.7193407,39.97524661,32.10788249,43.14210988,40.24735944,37.31857374
465.330476,441.009955,447.0439221,456.7896079,442.4076175,410.9405085,475.4667084,491.6816592,454.4797115
18.84396142,26.40145804,21.93616538,26.74069076,14.2928256,16.15490943,28.00849019,24.27289203,27.23247273
18.84396142,26.40145804,21.93616538,26.74069076,14.2928256,16.15490943,28.00849019,24.27289203,27.23247273
2243.585121,2387.325441,2323.342482,2481.755889,2402.534654,2532.080116,2251.747086,2277.91756,2439.020946
93.25838052,87.65284068,89.06839564,80.58838311,79.28051703,98.94882024,82.21847119,78.62757334,73.02337131
0.961426603,0.633634993,0.378209748,0,0.8933016,0,0.903499683,0,1.613776162
0,0.633634993,0,0,0,0,0,0,0
24.2279504,4.857868279,10.96808269,5.494662485,3.349881001,6.865836506,0.677624763,0.622381847,0.806888081
442.0639522,454.5275016,464.6306753,357.5193723,405.7822519,405.0843539,465.9799617,442.5134932,383.6752824
1.538282565,0,0.756419496,0,3.126555601,2.221300046,2.032874288,2.074606157,2.218942222
6.922271543,0,6.618670589,0,8.933016003,0,0,9.543188321,8.875768889
130.9463034,112.7870287,119.3251755,120.8825747,123.945597,95.71783835,142.3012001,188.5816997,161.3776162
81.33669064,75.19135249,76.96568371,72.5295448,79.72716783,97.53526566,88.99471882,94.18711952,86.13530262
1.538282565,0.633634993,1.134629244,0,0.4466508,0.403872736,0.451749842,0.829842463,0
939.3137914,952.564606,913.5656461,957.9028265,904.2445449,945.0622014,1006.950397,977.5544211,1005.584271
341.6910148,379.1249374,365.1615116,371.439184,383.6730373,413.363745,308.0933921,305.7969475,338.6912719
3.845706413,0.633634993,1.323734118,0.366310832,0.8933016,0.807745471,0.903499683,2.074606157,1.210332121
8.460554109,9.504524893,6.996880337,8.058838311,7.816389002,5.250345564,14.45599493,11.20287325,8.068880808
3.461135772,5.491503272,2.647468236,4.395729988,0,5.250345564,2.032874288,2.282066772,0
0.192285321,0,0,0,0,0.201936368,0,0,0
0,0.211211664,0.189104874,0,0,0,0,0,0
0.576855962,0.844846657,0.756419496,1.098932497,0,0.605809103,1.129374604,1.037303078,0
0.576855962,0.844846657,0.756419496,1.098932497,0,0.605809103,1.129374604,1.037303078,0
0.576855962,0.844846657,0.756419496,1.098932497,0,0.605809103,1.129374604,1.037303078,0
0.384570641,0,0.189104874,0.366310832,0.4466508,1.009681839,0,1.037303078,1.210332121
0,0,0,0.366310832,0,0.201936368,0,0,0.20172202
0.576855962,0.633634993,0.378209748,1.465243329,0.2233254,0.807745471,1.355249525,2.489527388,3.832718384
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0.211211664,0,0,0,0,0,0,0
2.115138527,0.633634993,0,0.732621665,1.3399524,0,0,1.659684925,0.40344404
0.384570641,0,0,0,0.2233254,0,0,0,0
36.72649624,43.72081451,53.51667933,43.59098905,49.80156422,45.23374639,43.3679848,37.55037144,45.99262061
9.229695391,8.659678236,5.484041345,4.029419156,7.146412802,4.64453646,6.776247626,8.090964011,5.244772525
43.64876779,53.43655107,69.023279,63.00546316,55.83135002,69.86998327,35.01061273,22.61320711,51.84255919
0,0,0,0,0,0.201936368,0,0,0
1.345997245,0,0.378209748,0,1.786603201,0.403872736,1.355249525,1.037303078,1.210332121
0.384570641,0,0,0,0,0,0,0,0
707.2254094,716.4299653,712.73627,723.4638938,719.554439,769.3775614,706.7626274,644.1652117,766.7453988
115.755763,123.9812469,106.0878343,112.0911147,136.228494,126.6141026,111.5822109,111.8212718,126.8831507
14.22911373,11.19421821,12.29181681,9.157770808,6.923087402,8.077454713,4.743373338,15.35208556,7.665436768
50.18646869,57.23836102,59.75714017,43.95729988,53.37477062,55.12862842,48.11135814,49.16816592,53.45633535
0.769141283,2.112116643,0.94552437,0.366310832,1.3399524,0,2.032874288,0.829842463,1.008610101
189.7856115,233.8113124,219.5507587,211.7276611,225.5586541,227.5822865,227.4560453,212.4396705,199.503078
1687.880545,1637.524033,1616.468463,1552.791618,1640.771714,1558.141014,1758.210384,1731.258838,1670.460049
124.9854584,117.2224737,118.1905462,121.2488855,133.3252638,134.489621,129.6522046,112.0287325,126.0762626
2.88427981,0,0,0,3.796531801,3.836790989,3.388123813,4.771594161,2.622386263
0,2.534539971,5.105831597,0,4.466508001,4.442600092,6.098622863,5.601436623,4.437884444
2.307423848,1.056058321,1.134629244,0,0.6699762,0.403872736,1.129374604,0,0
389.9546303,431.5054301,409.9793668,396.3483206,422.0850061,443.048391,427.1294753,383.5946784,429.869625
8.84512475,9.504524893,7.375090085,9.890392473,8.486365203,3.634854621,11.29374604,8.920806474,10.08610101
0,0,0.378209748,0.732621665,0,0,1.806999367,0.207460616,0.605166061
2.115138527,2.745751636,3.592992605,2.564175826,3.573206401,2.625172782,2.032874288,0.829842463,1.412054141
136.138007,120.179437,108.7353025,121.2488855,118.1391366,96.12171109,150.6585722,148.1268796,129.908981
0.384570641,0,0.189104874,0,0.2233254,0,0,0,0
7.114556864,7.814831579,7.375090085,9.157770808,6.029785802,8.279391081,7.002122547,5.808897239,0
0.384570641,0,0,0,0.4466508,0,0,0.207460616,0
80.56754935,94.20040227,104.3858904,88.28091059,104.5162872,123.3831207,66.18135181,61.61580286,80.68880808
2.307423848,0.422423329,0.189104874,0,0,0,0,0,0
58.83930812,21.75480142,41.4139674,37.73001573,29.03230201,26.04979145,25.52386606,26.34749819,23.60147636
52.30160722,54.70382105,62.02639866,56.41186818,65.88099302,74.51451973,60.53447879,59.12627547,64.9544905
52.30160722,54.70382105,62.02639866,56.41186818,65.88099302,74.51451973,60.53447879,59.12627547,64.9544905
52.30160722,54.70382105,62.02639866,56.41186818,65.88099302,74.51451973,60.53447879,59.12627547,64.9544905
52.30160722,54.70382105,62.02639866,56.41186818,65.88099302,74.51451973,60.53447879,59.12627547,64.9544905
0,0,0,0,0,0.201936368,0,0,0
52.30160722,54.70382105,62.02639866,56.41186818,65.88099302,74.51451973,60.53447879,59.12627547,64.9544905
